rep,max_update,best_org_fitness,best_org_id,update,evaluations,test_estimations,found_solution,pop_training_coverage,max_approx_agg_score,num_unique_selected,entropy_selected_ids,parents_training_coverage,training_coverage_loss
405,200,75,1,200,10050000,0,0,100,75,311,8.10557,100,0
406,200,83,75,200,10050000,0,0,100,83,251,7.71123,100,0
407,200,85,1,200,10050000,0,0,100,85,285,7.97075,100,0
408,200,75,1,200,10050000,0,0,100,75,306,8.07817,100,0
409,200,75,4,200,10050000,0,0,100,75,322,8.16874,100,0
410,200,75,3,200,10050000,0,0,100,75,302,8.04565,100,0
411,200,88,10,200,10050000,0,0,100,88,262,7.82982,100,0
412,200,75,0,200,10050000,0,0,100,75,303,8.07483,100,0
413,200,76,0,200,10050000,0,0,100,76,308,8.10429,100,0
414,200,77,29,200,10050000,0,0,100,77,261,7.75405,100,0
415,200,80,24,200,10050000,0,0,100,80,269,7.83412,100,0
416,200,80,3,200,10050000,0,0,100,80,260,7.74479,100,0
417,200,75,0,200,10050000,0,0,100,75,307,8.08557,100,0
418,200,76,12,200,10050000,0,0,100,76,240,7.64854,100,0
419,200,78,2,200,10050000,0,0,100,78,268,7.63004,100,0
420,200,75,1,200,10050000,0,0,100,75,310,8.10809,100,0
421,200,75,2,200,10050000,0,0,100,75,299,8.06874,100,0
422,200,77,20,200,10050000,0,0,100,77,279,7.90019,100,0
423,200,75,0,200,10050000,0,0,100,75,310,8.12547,100,0
424,200,48,0,200,10050000,0,0,100,48,317,8.15005,100,0
425,200,75,3,200,10050000,0,0,100,75,275,7.78131,100,0
426,200,75,2,200,10050000,0,0,100,75,313,8.11161,100,0
427,200,87,3,200,10050000,0,0,100,87,297,8.0347,100,0
428,200,79,110,200,10050000,0,0,100,79,263,7.79255,100,0
429,200,75,0,200,10050000,0,0,100,75,318,8.15299,100,0
430,200,75,0,200,10050000,0,0,100,75,293,8.0141,100,0
431,200,75,1,200,10050000,0,0,100,75,314,8.11752,100,0
432,200,86,7,200,10050000,0,0,100,86,293,7.99697,100,0
433,200,75,0,200,10050000,0,0,100,75,312,8.11531,100,0
434,200,75,5,200,10050000,0,0,100,75,318,8.13956,100,0
435,200,75,0,200,10050000,0,0,100,75,311,8.12225,100,0
436,200,75,1,200,10050000,0,0,100,75,324,8.19053,100,0
437,200,75,0,200,10050000,0,0,100,75,295,8.02944,100,0
438,200,77,4,200,10050000,0,0,100,77,253,7.54933,100,0
439,200,75,0,200,10050000,0,0,100,75,319,8.15923,100,0
440,200,75,0,200,10050000,0,0,100,75,305,8.06361,100,0
441,200,94,0,200,10050000,0,0,100,94,278,7.9011,100,0
442,200,76,0,200,10050000,0,0,100,76,310,8.09108,100,0
443,200,85,1,200,10050000,0,0,100,85,259,7.72233,100,0
444,200,75,0,200,10050000,0,0,100,75,317,8.16135,100,0
445,200,75,1,200,10050000,0,0,100,75,313,8.1269,100,0
446,200,75,0,200,10050000,0,0,100,75,281,7.80704,100,0
447,200,75,1,200,10050000,0,0,100,75,306,8.08834,100,0
448,200,76,0,200,10050000,0,0,100,76,317,8.12985,100,0
449,200,78,0,200,10050000,0,0,100,78,310,8.09418,100,0
450,200,75,1,200,10050000,0,0,100,75,323,8.18796,100,0
451,200,76,0,200,10050000,0,0,100,76,297,8.02781,100,0
452,200,90,6,200,10050000,0,0,100,90,278,7.95344,100,0
453,200,75,1,200,10050000,0,0,100,75,310,8.11005,100,0
454,200,75,0,200,10050000,0,0,100,75,311,8.11098,100,0
455,200,75,3,200,10050000,0,0,100,75,314,8.1175,100,0
456,200,77,41,200,10050000,0,0,100,77,263,7.8331,100,0
457,172,100,164,172,8650000,0,1,100,100,283,7.95797,100,0
458,200,75,2,200,10050000,0,0,100,75,316,8.15196,100,0
