rep,max_update,best_org_fitness,best_org_id,update,evaluations,test_estimations,found_solution,pop_training_coverage,max_approx_agg_score,num_unique_selected,entropy_selected_ids,parents_training_coverage,training_coverage_loss
469,200,85,0,200,10050000,0,0,100,85,297,8.02916,100,0
470,200,95,2,200,10050000,0,0,100,95,276,7.93403,100,0
471,200,78,1,200,10050000,0,0,100,78,294,7.97656,100,0
472,200,75,2,200,10050000,0,0,100,75,270,7.1622,100,0
473,200,76,2,200,10050000,0,0,100,76,318,8.13621,100,0
474,200,75,0,200,10050000,0,0,100,75,322,8.16625,100,0
475,200,76,0,200,10050000,0,0,100,76,312,8.11246,100,0
476,200,76,0,200,10050000,0,0,100,76,310,8.09108,100,0
477,200,75,8,200,10050000,0,0,100,75,268,7.65329,100,0
478,200,75,0,200,10050000,0,0,100,75,305,8.07312,100,0
479,200,90,0,200,10050000,0,0,100,90,264,7.83762,100,0
480,200,77,35,200,10050000,0,0,100,77,247,7.61589,100,0
481,200,75,2,200,10050000,0,0,100,75,307,8.09948,100,0
482,200,75,1,200,10050000,0,0,100,75,321,8.15181,100,0
483,200,75,0,200,10050000,0,0,100,75,311,8.09744,100,0
484,200,90,2,200,10050000,0,0,100,90,268,7.69553,100,0
485,200,75,1,200,10050000,0,0,100,75,314,8.12927,100,0
486,200,76,0,200,10050000,0,0,100,76,327,8.19845,100,0
487,200,75,0,200,10050000,0,0,100,75,310,8.08018,100,0
488,200,75,0,200,10050000,0,0,100,75,314,8.12874,100,0
489,200,79,71,200,10050000,0,0,100,79,273,7.8588,100,0
490,200,75,3,200,10050000,0,0,100,75,314,8.1175,100,0
491,200,75,1,200,10050000,0,0,100,75,313,8.12401,100,0
492,200,75,1,200,10050000,0,0,100,75,316,8.14192,100,0
493,200,75,0,200,10050000,0,0,100,75,313,8.1265,100,0
494,200,75,2,200,10050000,0,0,100,75,312,8.11515,100,0
495,200,75,0,200,10050000,0,0,100,75,318,8.15601,100,0
496,200,85,2,200,10050000,0,0,100,85,290,7.95905,100,0
497,200,76,15,200,10050000,0,0,100,76,263,7.5153,100,0
498,200,93,3,200,10050000,0,0,100,93,272,7.8817,100,0
499,200,85,2,200,10050000,0,0,100,85,276,7.86089,100,0
500,200,75,2,200,10050000,0,0,100,75,302,8.06879,100,0
